Rank,Country/Economy,GDP (millions of $),Agriculture GDP,Industry,Services,Year GDP 
1,united states,19360000,174240,3659040,15526720,2017
2,china,11940000,991020,4716300,6232680,2017
3,japan,4884000,48840,1450548,3384612,2017
5,france,2575000,51500,517575,2005925,2017
6,united kingdom,2565000,15390,487350,2062260,2017
7,india,2439000,375606,560970,1499985,2017
8,brazil,2081000,129022,437010,1514968,2017
9,italy,1921000,40341,461040,1419619,2017
10,canada,1640000,27880,460840,1151280,2017
11,"korea, south",1530000,33660,601290,891990,2017
12,russia,1469000,69043,475956,915187,2017
13,australia,1390000,50040,362790,977170,2017
14,spain,1307000,33982,303224,969794,2017
15,mexico,1142000,44538,360872,730880,2017
17,turkey,841200,56360,267502,516497,2017
18,netherlands,824500,13192,147586,578799,2017
19,saudi arabia,683700,17776,302195,363728,2017
20,switzerland,680600,4764,174234,501602,2017
21,argentina,619900,67569,174812,377519,2017
22,taiwan,571500,10287,205740,354902,2017
23,sweden,541900,8670,178827,354403,2017
24,poland,510000,12240,205020,292740,2017
25,belgium,491700,3442,107191,381068,2017
26,thailand,437800,35900,158484,243417,2017
27,iran,427700,41915,153544,232241,2017
28,austria,409300,4912,116241,288147,2017
29,nigeria,394800,85277,72248,237275,2017
30,norway,392100,9410,121943,260747,2017
31,united arab emirates,378700,3408,188593,186320,2017
32,israel,348000,8004,92568,241860,2017
33,south africa,344100,9635,102198,232268,2017
34,hong kong,341400,341,24581,316478,2017
35,ireland,325600,3256,124379,197639,2017
36,denmark,324100,3565,76812,243723,2017
37,philippines,313400,30086,95900,187413,2017
38,malaysia,309900,26032,114353,169515,2017
39,colombia,307500,22755,96248,188805,2017
42,chile,263200,11581,82645,169238,2017
43,finland,252500,6818,70195,175488,2017
44,bangladesh,246600,35017,72007,139329,2017
45,vietnam,223300,34165,74359,92223,2017
46,venezuela,215300,9473,82245,123582,2017
47,portugal,211700,4657,46786,160257,2017
48,peru,210000,15750,76230,117810,2017
49,czechia,209700,5243,79267,125191,2017
50,romania,204900,8606,68027,128267,2017
51,greece,204300,8172,32688,163440,2017
52,new zealand,200800,7831,52610,140359,2017
53,egypt,193700,23050,64115,107891,2017
54,iraq,192700,9250,78236,105214,2017
55,algeria,175500,23166,63356,88979,2017
56,qatar,166300,333,83649,82319,2017
57,kazakhstan,156200,7498,53733,94970,2017
58,hungary,132000,5808,40788,85404,2017
59,angola,124000,12648,76136,35216,2017
60,sudan,119000,47124,3094,68782,2017
61,kuwait,118300,473,69442,48385,2017
62,morocco,110700,16384,32214,61992,2017
63,ukraine,104100,14574,28940,60586,2017
64,puerto rico,103200,826,51703,50671,2017
65,ecuador,100900,7769,35517,57412,2017
66,slovakia,95000,3610,33250,58140,2017
67,cuba,93790,3658,20165,69592,2017
68,sri lanka,83570,6518,25489,51563,2017
69,ethiopia,79740,28547,17702,33491,2017
70,kenya,78290,27636,13466,37501,2017
71,dominican republic,74870,4118,25306,45521,2017
72,oman,71930,1223,32512,38123,2017
73,guatemala,70810,9347,16711,44752,2017
74,uzbekistan,67510,12489,23223,31730,2017
75,burma,66970,16609,23707,26721,2017
76,luxembourg,63520,127,7559,55834,2017
77,uruguay,60270,3737,15068,41466,2017
78,panama,59050,1417,9271,48421,2017
79,costa rica,58910,3240,12371,43299,2017
80,bulgaria,55950,2406,15666,37878,2017
81,croatia,54480,1798,18687,34268,2017
82,belarus,52780,4381,21429,26971,2017
83,lebanon,52700,3004,11067,38629,2017
84,tanzania,51610,12077,14760,24566,2017
86,slovenia,48080,865,15482,31685,2017
87,lithuania,46670,1540,13301,31876,2017
88,ghana,45460,8319,11138,26003,2017
89,turkmenistan,41670,3125,18710,19877,2017
90,jordan,40490,1741,11702,27047,2017
91,"congo, democratic republic of the",40420,8529,13339,18553,2017
92,cote d'ivoire,39910,6944,11494,21472,2017
93,tunisia,39880,3948,10209,25523,2017
94,serbia,39370,3858,16181,19331,2017
95,azerbaijan,39210,2431,19252,17527,2017
96,bolivia,37820,4917,14145,18910,2017
97,bahrain,33870,102,12938,20830,2017
98,libya,33310,433,21252,11625,2017
99,cameroon,30650,7080,8582,14988,2017
100,latvia,30180,966,6519,22695,2017
101,paraguay,28780,5152,7972,15685,2017
103,el salvador,27410,2905,6743,17789,2017
104,uganda,26390,6809,6122,13459,2017
105,estonia,25680,873,7139,17668,2017
106,yemen,25670,6186,3671,15813,2017
107,zambia,25580,1381,9106,15092,2017
108,iceland,24850,1441,4920,18488,2017
110,nepal,24070,6499,3249,12396,2017
111,honduras,22680,3130,6441,13109,2017
112,cambodia,22250,5629,7298,9323,2017
113,cyprus,21110,486,2322,18323,2017
114,afghanistan,21060,4844,4444,11773,2017
115,trinidad and tobago,20300,81,9906,10312,2017
117,bosnia and herzegovina,17460,1362,4679,11419,2017
118,laos,17150,3584,5694,7872,2017
119,zimbabwe,17110,2139,4603,10369,2017
120,botswana,16730,284,4885,11560,2017
121,senegal,16060,2714,3903,9443,2017
122,georgia,15230,1462,3564,10082,2017
123,mali,15000,6135,2835,6030,2017
124,jamaica,14720,1119,3415,10186,2017
125,gabon,14470,651,6367,7452,2017
126,nicaragua,13690,2122,3340,6955,2017
127,burkina faso,13190,4208,2902,6081,2017
128,albania,13000,2938,3094,6981,2017
129,namibia,12560,829,3240,8491,2017
130,mozambique,12350,2754,2841,6755,2017
131,mauritius,12270,491,2675,9104,2017
132,malta,12010,156,1273,10581,2017
133,brunei,11960,144,6757,5059,2017
134,macedonia,11420,1142,3426,6852,2017
135,armenia,11040,1954,3069,6017,2017
136,madagascar,10910,2586,1746,6579,2017
137,mongolia,10870,1435,3924,5511,2017
138,equatorial guinea,10070,252,5690,4129,2017
140,new caledonia,9770,137,2589,7034,2017
141,chad,9740,5747,1373,2630,2017
142,benin,9410,2409,2174,4827,2017
143,guinea,9183,1791,3526,3866,2017
144,"bahamas, the",9127,210,703,8214,2017
145,rwanda,8918,2756,1570,4593,2017
146,haiti,8360,1831,1739,4790,2017
147,moldova,8132,992,1187,5953,2017
148,"congo, republic of the",7799,694,3962,3143,2017
150,tajikistan,7234,2069,1845,3320,2017
151,kyrgyzstan,7061,1010,2295,3756,2017
153,kosovo,6684,795,1183,4706,2017
155,somalia,6522,3926,483,2120,2017
157,eritrea,6050,708,1791,3551,2017
163,fiji,5054,536,905,3614,2017
164,mauritania,4985,1122,1884,1979,2017
166,barbados,4821,67,231,4522,2017
167,togo,4797,1348,1036,2413,2017
169,maldives,4648,139,744,3765,2017
170,montenegro,4405,330,700,3374,2017
171,eswatini,4030,262,1814,1959,2017
172,sierra leone,3897,2365,253,1282,2017
173,suriname,3665,425,1140,2104,2017
174,guyana,3591,628,1357,1605,2017
175,burundi,3393,1357,543,1496,2017
180,lesotho,2721,144,941,1635,2017
181,timor-leste,2716,255,1570,891,2017
184,bhutan,2321,364,989,968,2017
187,liberia,2140,773,225,1143,2017
188,djibouti,2082,58,437,1584,2017
190,central african republic,1992,855,317,821,2017
191,belize,1819,176,251,1131,2017
192,cabo verde,1728,137,309,1282,2017
193,saint lucia,1717,50,244,1422,2017
194,san marino,1633,2,640,991,2017
195,antigua and barbuda,1535,35,310,1190,2017
196,seychelles,1479,37,204,1238,2017
197,guinea-bissau,1295,571,167,557,2017
198,solomon islands,1273,437,97,740,2017
200,grenada,1111,101,158,852,2017
201,"gambia, the",1038,212,147,679,2017
202,british virgin islands,1028,10,115,903,2017
203,saint kitts and nevis,939,10,282,647,2017
204,samoa,844,88,199,557,2017
205,vanuatu,837,226,76,535,2017
206,saint vincent and the grenadines,815,58,142,615,2017
207,comoros,659,326,78,255,2017
209,dominica,608,93,83,432,2017
211,tonga,437,85,91,261,2017
212,sao tome and principe,343,40,51,252,2017
213,"micronesia, federated states of",329,87,62,180,2017
214,palau,321,10,61,250,2017
219,marshall islands,199,9,20,171,2017
220,kiribati,186,43,13,130,2017
222,nauru,114,7,38,69,2017
223,tuvalu,40,10,2,28,2017
